time obj_dir/Vfhe_alu_top 
ntt_sequence start
load set start
load root start
load data start
load start
bit_rev start
ntt start
a_out 128ea389dffcd07b, b_out 2d5f025519faec29
a_out 0ae13cecb60da297, b_out 2c560aef4bc75995
a_out 0d0c4f3e53f16849, b_out 12f3b0c1ac0b97c1
a_out 0e86279f29f7f425, b_out 1179d860d6050be1
a_out 10bcec306b01c5ee, b_out 2f4313cf94f83a12
a_out 1c4f630de8eca255, b_out 23b09cf2170d5dab
a_out 12be8f84e7c35633, b_out 08d3e75896200631
a_out 3752cf168ade612f, b_out 2d1aba0bf7324265
a_out 0d0dbe3bc388dbad, b_out 31786963666a9879
a_out 3e8f54b42cf495d3, b_out 02ea83aca90bf60f
a_out 10c472d9f8067b1c, b_out 106f8460b7d512d6
a_out 103fd8bd6bba99b3, b_out 05b11dc2e0369127
a_out 0e99d7dc30b5a514, b_out 040fa2801f3e07f6
a_out 08a9734e9e0412a1, b_out 2d88249a16238789
a_out 0ad58aad12e7967a, b_out 152a7552ed15698c
a_out 0000000000000000, b_out 1ffffffffffd0002
a_out 1179d860d6050bdd, b_out 2e86279f29f4f423
a_out 1e86279f29f67423, b_out 2179d860d6038bdf
a_out 175b21f6d78a47aa, b_out 176751d184b42f10
a_out 038c1fda983d1e28, b_out 0db16c5d0b786b3e
a_out 15985a7577549348, b_out 0be17deb5eaef8b2
a_out 250c1812a6b1e129, b_out 397a0f8c833e9319
a_out 1f6b10300b966613, b_out 3751a7acb23a82f9
a_out 2b66befba7def8de, b_out 09ab4c2e4a787cfe
a_out 353d44479e2d1ef1, b_out 3d91b835c1caf213
a_out 2a8e839725ed0960, b_out 16d3bce4c9da86a4
a_out 046d89228213a39d, b_out 1b9276dd7de95c6b
a_out 1236c491410851cc, b_out 2dc93b6ebef1ae34
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 12f3b0c1ac0b97bb, b_out 2d0c4f3e53ee6845
a_out 35553e623e1cd0d2, b_out 2f184ac043f3d2cc
a_out 22ed90ecb398e0a4, b_out 38a4e5f0ca4a7bca
a_out 3f64c56b7d458977, b_out 36464feea886a381
a_out 27f589e942c83110, b_out 225f60bc975fa20c
a_out 27e4430587e28e90, b_out 3695b4bef4e3fe34
a_out 3f37d9aab36c3b29, b_out 1f5a7dcf23ae2067
a_out 1b15b16c016f6025, b_out 3c3eda726158dea7
a_out 0f8d2068f9ef3807, b_out 1c12047a4f49a0f5
a_out 1f4313cf94f9ba0b, b_out 20bcec306b0045e9
a_out 0f4313cf94fb3a17, b_out 10bcec306b01c5f5
a_out 10bcec306b01c5ed, b_out 2f4313cf94f83a11
a_out 15e761835818af78, b_out 2a189e7ca7e1508a
a_out 37adbefc47d696e1, b_out 06d868a2e21cdd47
a_out 0d181b30c70de631, b_out 3461bd300ef2a5b3
a_out 0c0c2fdc5d28c766, b_out 13f3d023a2d4389c
a_out 22254c8a53330d18, b_out 3ddab375acc9f2ea
a_out 18fbd23f72766b44, b_out 16f51ff1c120468c
a_out 1ba5af23686b1cb5, b_out 2b8e4c665fcaea4b
a_out 3d206ea02b1ef41e, b_out 0182fcfcdfcac2a2
a_out 1fe1264552bc0f4e, b_out 2a568062a6818122
a_out 0e86279f29f7f423, b_out 1179d860d6050bdf
a_out 0f4313cf94fb3a16, b_out 10bcec306b01c5f4
a_out 0dc93b6ebef4ae35, b_out 1236c491410851cf
a_out 0e86279f29f7f426, b_out 1179d860d6050be2
a_out 0166172e8243187e, b_out 3e99e8d17db6e77e
a_out 0e89dfc7ff7f162c, b_out 31762038007ae9d0
a_out 0d10bdc1d5af7fe0, b_out 14691a9f00540c00
a_out 2a5c16f53c464e55, b_out 342a10a9edaa25d3
a_out 234091b2787790bd, b_out 3ad15e706b655d53
a_out 1b5b84584ef0c890, b_out 1848b00ed574d7c8
a_out 2f296cf32997f882, b_out 10f89ba73689b050
a_out 14202807a679b9c7, b_out 1a07aad3f10a0eff
a_out 0f4313cf94fb3a17, b_out 10bcec306b01c5f5
a_out 0d0c4f3e53f16845, b_out 12f3b0c1ac0b97bd
a_out 0f4313cf94fb3a14, b_out 10bcec306b01c5f2
a_out 1d0c4f3e53efe842, b_out 22f3b0c1ac0a17ba
a_out 204aa2fdff642986, b_out 012f3562d69f625c
a_out 02ccd15bed9b251d, b_out 1bb956433c554f0d
a_out 02600784cfe62d28, b_out 1c26201a5a0a46fc
a_out 0ad8d47a0dfa2a2c, b_out 16a103e6c80961b0
a_out 23ef1073a00147f5, b_out 25f25ab2a4695137
a_out 12ca8a21f6a51694, b_out 293b6c3b1cfe7fb4
a_out 0edd3684cdf9f266, b_out 12be3c1ccdb6b3f2
a_out 09167770f38d8890, b_out 0f66b46a189ba19c
a_out 0e86279f29f7f425, b_out 1179d860d6050be1
a_out 00bcec306b0345ef, b_out 1f4313cf94f9ba13
a_out 02f3b0c1ac0d17be, b_out 1d0c4f3e53efe848
a_out 0000000000000005, b_out 1ffffffffffd0007
a_out 131861e3a67b0b52, b_out 2ce79e1c597ef4b0
a_out 2011af3a7b080be3, b_out 1fee50c584f1f41f
a_out 09e19b25c948dcfb, b_out 11b0dbb7b49a7f69
a_out 1e815da28773abf8, b_out 05ec2b7ffa9cf79c
a_out 251f08e19d40e823, b_out 2ef8ee2902b66ceb
a_out 0d6441b286a1b6d4, b_out 332d9c8e8db69a42
a_out 3e007c7674d8b9ce, b_out 0d61edf0c7990e4a
a_out 0e7a24d8071b6b15, b_out 11799b75080526b3
a_out 0ffffffffffe7ffe, b_out 2ffffffffffb8000
a_out 0d0c4f3e53f16846, b_out 12f3b0c1ac0b97be
a_out 1e86279f29f67421, b_out 2179d860d6038bdd
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 1d0dbe3bc3875baa, b_out 0178696366691876
